songid,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,
577,How Do You Sleep?,Sam Smith,pop,2019,111,68,48,-5,8,35,202,15,9,93,0
579,Trampoline (with ZAYN),SHAED,electropop,2019,127,46,62,-6,14,50,184,56,3,92,0
580,Happier,Marshmello,brostep,2019,100,79,69,-3,17,67,214,19,5,90,0
581,Truth Hurts,Lizzo,escape room,2019,158,62,72,-3,12,41,173,11,11,90,0
582,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,67,-3,74,48,159,30,6,90,0
583,Higher Love,Kygo,edm,2019,104,68,69,-7,10,40,228,2,3,88,0
584,Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,11,7,87,0
586,Sucker,Jonas Brothers,boy band,2019,138,73,84,-5,11,95,181,4,6,86,0
587,Don't Call Me Up,Mabel,dance pop,2019,99,88,67,-3,8,23,178,30,15,86,0
589,Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,90,-9,6,35,198,5,13,84,0
591,Takeaway,The Chainsmokers,electropop,2019,100,51,53,-8,10,35,210,13,3,83,0
592,All Around The World (La La La),R3HAB,big room,2019,125,86,73,-5,11,52,148,48,3,82,0
593,Girls Like You (feat. Cardi B),Maroon 5,pop,2019,125,54,85,-7,13,45,236,57,5,81,0
594,Call You Mine,The Chainsmokers,electropop,2019,104,70,59,-6,34,52,218,20,3,81,0
597,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,84,-4,6,62,213,16,23,77,0
603,Kills You Slowly,The Chainsmokers,electropop,2019,150,44,70,-9,13,23,213,6,6,67,0
