songid,title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,
185,Next To Me,Emeli Sandé,dance pop,2013,95,80,67,-5,11,35,197,9,4,60,0
187,Clown,Emeli Sandé,dance pop,2013,130,23,45,-8,11,23,221,92,4,60,0
190,Come & Get It,Selena Gomez,dance pop,2013,80,79,55,-4,10,58,232,1,5,57,0
192,We Own The Night,The Wanted,boy band,2013,104,94,55,-4,23,56,206,1,13,56,0
193,Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013,136,45,28,-8,11,11,236,63,3,55,0
194,What About Love,Austin Mahone,dance pop,2013,100,78,63,-7,4,28,203,0,4,54,0
199,Pom Poms,Jonas Brothers,boy band,2013,148,98,68,-2,28,90,198,7,9,52,0
201,How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,-3,37,51,211,9,48,50,0
202,Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,-4,13,50,229,4,4,46,0
212,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,18,173,59,4,85,0
215,Rude,MAGIC!,pop,2014,144,76,77,-5,31,93,225,4,4,79,0
218,Hey Brother,Avicii,big room,2014,125,78,55,-5,8,46,255,3,4,78,0
219,Maps,Maroon 5,pop,2014,120,71,74,-6,6,88,190,2,3,78,0
222,Problem,Ariana Grande,dance pop,2014,103,81,66,-5,16,63,194,2,15,75,0
223,Pompeii,Bastille,metropopolis,2014,127,72,68,-6,27,57,214,8,4,73,0
224,Team,Lorde,art pop,2014,100,58,69,-7,31,42,193,17,9,73,0
225,Love Me Again,John Newman,pop,2014,126,89,50,-5,10,21,240,0,4,73,0
226,Latch,Disclosure,house,2014,122,73,50,-5,9,52,256,2,17,72,0
230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,71,0
231,Fancy,Iggy Azalea,australian hip hop,2014,95,72,91,-4,5,38,200,9,7,70,0
237,Love Runs Out,OneRepublic,dance pop,2014,120,93,72,-4,8,74,225,17,6,66,0
239,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126,92,71,-4,27,98,232,0,4,65,0
240,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,76,-6,9,52,241,1,18,65,0
241,#SELFIE,The Chainsmokers,electropop,2014,128,92,79,-3,8,66,184,1,25,65,0
242,Partition,Beyoncé,dance pop,2014,186,44,41,-12,31,17,319,3,29,65,0
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128,74,60,-3,9,46,217,11,4,64,0
247,Wings,Birdy,neo mellow,2014,83,71,47,-5,16,22,252,8,3,62,0
250,Say Something,A Great Big World,neo mellow,2014,138,15,45,-9,9,9,229,87,3,61,0
251,A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,55,-6,21,16,268,1,3,60,0
254,XO,Beyoncé,dance pop,2014,170,79,47,-9,31,21,216,17,26,56,0
256,Not About Angels,Birdy,neo mellow,2014,116,14,41,-10,9,23,190,97,4,56,0
257,Drunk in Love,Beyoncé,dance pop,2014,140,62,59,-7,18,40,323,1,5,52,0
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,81,68,-4,34,64,169,7,6,50,0
261,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,68,-9,9,56,160,84,3,49,0
262,Words as Weapons,Birdy,neo mellow,2014,120,35,53,-9,14,19,239,28,3,44,0
265,Cannonball,Lea Michele,hollywood,2014,92,82,56,-3,19,57,215,2,5,37,0
270,I'm Not The Only One,Sam Smith,pop,2015,82,49,68,-6,8,49,239,53,4,84,0
271,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,84,0
274,Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,57,-5,12,44,242,63,5,81,0
275,Sugar,Maroon 5,pop,2015,120,79,75,-7,9,88,235,6,3,81,0
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120,38,66,-6,10,44,252,39,3,79,0
281,Stitches,Shawn Mendes,canadian pop,2015,150,75,75,-7,5,76,207,2,7,78,0
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120,51,83,-9,8,45,208,1,4,77,0
285,Night Changes,One Direction,boy band,2015,120,52,67,-8,12,37,227,86,4,77,0
287,Never Forget You,Zara Larsson,dance pop,2015,146,73,58,-6,27,28,213,0,5,77,0
288,Love Me Harder,Ariana Grande,dance pop,2015,99,71,47,-4,8,24,236,1,3,76,0
289,Animals,Maroon 5,pop,2015,190,74,28,-6,59,33,231,0,9,76,0
291,Worth It,Fifth Harmony,dance pop,2015,100,77,88,-4,12,59,225,6,9,75,0
292,Break Free,Ariana Grande,dance pop,2015,130,70,69,-5,20,28,215,1,5,75,0
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,80,-7,19,55,228,16,4,73,0
297,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72,0
298,43776,Beyoncé,dance pop,2015,136,71,75,-5,13,56,214,1,13,72,0
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83,79,62,-5,14,62,227,5,4,72,0
304,Jealous - Remix,Nick Jonas,dance pop,2015,93,71,68,-4,44,45,222,1,8,70,0
306,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,83,-4,29,71,293,9,7,70,0
307,Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91,89,57,-5,33,31,233,10,8,69,0
311,Runnin' (Lose It All),Naughty Boy,tropical house,2015,139,85,32,-6,48,8,213,1,8,69,0
312,Same Old Love,Selena Gomez,dance pop,2015,98,59,67,-4,21,44,229,2,3,69,0
313,I Want You To Know,Zedd,complextro,2015,130,85,58,-3,14,37,240,1,6,68,0
314,Lips Are Movin,Meghan Trainor,dance pop,2015,139,83,78,-5,11,95,183,5,5,68,0
316,Here,Alessia Cara,canadian contemporary r&b,2015,120,82,38,-4,8,33,199,8,10,68,0
317,I Lived,OneRepublic,dance pop,2015,120,85,59,-5,27,34,235,7,4,67,0
